,codigo_intervencao,dcodigo_interv,count_code,perc
161,739,FORMAÇÃO CONTINUA - QUALIFICAÇÃO PROFISSIONAL - CGP,740,0.0018521769098265419
210,790,EFA - NS - PROFISSIONAL,738,0.00184717102628647
44,315,FEG - APOIOS À AUTO-COLOCAÇÃO,696,0.0017420474719449638
133,711,FORMAÇÃO PROFISSIONAL DESEMPREGADOS - CGP,608,0.0015217885961818075
90,426,ESTÁGIOS - PATRIMÓNIO,608,0.0015217885961818075
132,710,INICIAÇÃO PROFISSIONAL E QUALIFICAÇÃO INICIAL - CGP,552,0.0013816238570597988
64,401,PROGRAMA DE FORMAÇÃO EMPREGO - PFE,478,0.0011964061660771448
152,730,EFA - EDUCAÇÃO FORMAÇÃO DE ADULTOS,464,0.0011613649812966425
50,322,PAECPE-SUBSÍDIO+ILE,440,0.0011012943788157818
118,612,READAPTAÇÃO AO TRABALHO,432,0.0010812708446554947
89,425,PASSAPORTE EMPREGO JUVENTUDE E DESPORTO,430,0.0010762649611154229
131,709,FORMAÇÃO PROFISSIONAL PARA DESFAVORECIDOS - FORMAÇÃO ESPECIAL - CGD,404,0.0010111884750944905
6,204,PORTFÓLIO DE COMPETÊNCIAS,402,0.0010061825915544187
154,732,QUALIFICAÇÃO INICIAL,390,0.0009761472903139883
56,328,INVESTJOVEM - PROMOTOR DESTINATÁRIO,374,0.0009361002219934144
105,601,PREPARAÇÃO PRÉ-PROFISSIONAL,344,0.0008610119688923385
236,7019,FEG - AÇÕES DE ACONSELHAMENTO,340,0.0008510002018121949
36,301,APOIO À CONTRATAÇÃO,331,0.0008284737258818721
141,719,FORMAÇÃO SÓCIO-PROFISSIONAL - CGD,306,0.0007659001816309755
166,744,QUALIFICAÇÃO INICIAL - CGP,300,0.0007508825310107602
24,222,GERCARREIRA,292,0.0007308589968504733
158,736,FORMAÇÃO PARA ACTIVOS QUALIFICADOS,284,0.0007108354626901863
30,232,RVCC DUPLA CERTIFICAÇÃO - SECUNDÁRIO+N4,270,0.0006757942779096842
107,602,FORMAÇÃO PROFISSIONAL - PESSOAS COM DEFICIÊNCIA - CGD,257,0.000643256034899218
106,602,FORMAÇÃO PROFISSIONAL -  PESSOAS COM DEFICIÊNCIA - CGD,257,0.000643256034899218
206,786,FORMAÇÃO PARA A INCLUSÃO,250,0.0006257354425089668
70,407,MÓDULOS DE GESTÃO,228,0.0005706707235681777
100,505,EM - FAMILIA - CONTRATAÇÃO - PEPS,226,0.000565664840028106
138,716,EDUCAÇÃO FORMAÇÃO - CGP,226,0.000565664840028106
184,764,PIPS - FORIN,226,0.000565664840028106
29,231,RVCC DUPLA CERTIFICAÇÃO - BÁSICO+N2,222,0.0005556530729479626
183,763,FORMAÇÃO DE DESEMPREGADOS QUALIFICADOS,202,0.0005055942375472453
137,715,FORMAÇÃO PROFISSIONAL PARA DESFAVORECIDOS - FORMAÇÃO ESPECIAL - CGP,202,0.0005055942375472453
172,750,FORMAÇÃO CONTINUA - RECONVERSÃO - CGP,200,0.0005005883540071735
142,720,FORMAÇÃO DE ACTIVOS QUALIFICADOS DESEMPREGADOS  - CGD,196,0.00049057658692703
111,604,INCENTIVOS À CONTRATAÇÃO (REABILITAÇÃO),191,0.00047806187807685065
110,604,CONVERSÃO DE DADOS,191,0.00047806187807685065
45,317,FEG - APOIOS A NOVOS EMPREENDEDORES - PT CRIADOS,190,0.00047555893630681485
169,747,PROGRAMA PORTUGUÊS PARA TODOS - CGP,182,0.0004555354021465279
23,221,FEG - APOIO TÉCNICO,158,0.000395464799665667
